#{"t_start": 1660895733.1277232, "env_id": "DobotReachDense-v0"}
r,l,t
-4.728226,50,2.400481
-0.654893,4,2.404181
-14.390979,50,2.448065
-14.792317,50,2.492275
-8.529272,50,2.536112
-10.559177,50,2.582981
-7.297542,50,2.647074
-9.417808,50,2.692897
-10.332237,50,2.736458
-15.839948,50,2.780355
-11.848614,50,3.547626
-10.909991,50,3.591585
-13.156327,50,3.635787
-16.255844,50,3.679793
-17.888291,50,3.724547
-14.296948,50,3.768178
-0.559559,4,3.771832
-14.557749,50,3.815372
-14.509322,50,3.859315
-16.979556,50,3.903777
-13.288528,50,4.674005
-8.606059,50,4.717909
-9.989334,50,4.761731
-9.483634,50,4.805597
-10.133225,50,4.849314
-9.710432,50,4.894187
-14.166182,50,4.937742
-8.584919,50,4.981572
-18.49361,50,5.025457
-4.197176,50,5.069394
-10.783823,50,5.830322
-9.619778,50,5.873889
-16.968249,50,5.917401
-12.20241,50,5.96126
-15.104942,50,6.00479
-20.078031,50,6.048365
-10.557769,50,6.092213
-14.760879,50,6.136053
-12.885704,50,6.179922
-13.535849,50,6.223841
-16.483037,50,6.982931
-9.730686,50,7.026516
-0.184832,2,7.02845
-13.749502,50,7.072337
-13.215309,50,7.116207
-7.968226,50,7.16006
-13.506066,50,7.203591
-13.034678,50,7.247569
-8.672198,50,7.291427
-11.586728,50,7.335286
-14.299132,50,8.094793
-15.758325,50,8.138453
-17.529002,50,8.182056
-13.486522,50,8.226047
-9.350024,50,8.269879
-16.006786,50,8.313799
-12.435655,50,8.357363
-13.493753,50,8.400935
-15.533548,50,8.444899
-13.768894,50,8.488887
-10.043229,50,9.251855
-14.656575,50,9.29563
-10.265421,50,9.339221
-19.815242,50,9.382898
-12.850476,50,9.426468
-19.183564,50,9.470331
-14.199123,50,9.514465
-17.266579,50,9.5582
-17.127489,50,9.602051
-15.936047,50,9.646282
-14.666603,50,10.402033
-0.312011,3,10.404827
-12.669986,50,10.448576
-6.426059,50,10.491973
-13.696478,50,10.535718
-19.841686,50,10.579227
-11.455543,50,10.623047
-11.104427,50,10.666862
-18.135137,50,10.710264
-6.594784,50,10.753889
-12.449345,50,11.513244
-10.947698,50,11.556903
-18.590533,50,11.600389
-16.169641,50,11.644336
-10.236536,50,11.687992
-12.920594,50,11.731515
-6.829995,50,11.775299
-16.519775,50,11.81882
-10.276781,50,11.862698
-15.205406,50,11.906476
-17.448081,50,12.664205
-14.869476,50,12.708237
-4.518622,50,12.752193
-13.207127,50,12.795607
-8.317851,50,12.839462
-14.474429,50,12.88333
-9.007149,50,12.926831
-10.250443,50,12.970652
-13.444751,50,13.014573
-12.883617,50,13.058452
-13.247441,50,18.887917
-0.944561,5,18.892524
-16.756511,50,18.938261
-8.044863,50,18.983795
-0.450779,3,18.986611
-13.445212,50,19.03215
-10.088704,50,19.077751
-12.327473,50,19.123525
-12.469559,50,19.169833
-12.585138,50,19.215364
-8.704007,50,24.405393
-5.979519,50,24.449497
-7.780861,50,24.495358
-8.59949,50,24.541209
-9.340909,50,24.58667
-7.913209,50,24.632209
-6.486036,50,24.676202
-8.360364,50,24.720126
-9.84596,50,24.7642
-6.976421,50,24.809224
-0.931022,5,29.617148
-0.29207,3,29.619968
-6.162741,50,29.667573
-0.258573,3,29.670365
-0.810845,5,29.67495
-0.747144,5,29.679544
-2.972575,16,29.693683
-4.221824,50,29.739247
-0.635445,5,29.743805
-2.276161,16,29.758113
-3.760602,20,35.27148
-2.543384,14,35.28401
-1.703605,12,35.294798
-3.21936,16,35.309161
-0.950265,5,35.313731
-0.963814,9,35.321781
-2.569181,15,35.335167
-5.391061,50,35.380426
-1.236023,10,35.389404
-1.05146,5,35.393975
-1.081602,6,41.202311
-4.511653,50,41.247341
-1.703495,12,41.258204
-1.042852,10,41.267275
-0.187938,2,41.269191
-1.106907,10,41.278076
-0.497935,3,41.280895
-3.087266,50,41.326321
-0.902837,5,41.330898
-0.596398,4,41.334552
-5.599676,50,47.184576
-3.935774,50,47.229682
-1.560727,11,47.239519
-3.427075,16,47.253949
-1.607755,11,47.263893
-2.195251,14,47.276503
-2.234343,13,47.288338
-1.653903,11,47.298277
-3.728727,17,47.313795
-3.484936,17,47.329257
-2.861359,16,53.258957
-1.719281,13,53.270665
-2.11876,12,53.281752
-1.121021,9,53.289841
-5.744907,50,53.33429
-6.970273,50,53.380926
-0.302182,3,53.38377
-3.558884,18,53.399931
-2.137656,14,53.412638
-2.307622,12,53.423578
-1.078463,12,59.239573
-0.698963,7,59.24602
-6.229908,50,59.290293
-5.789411,50,59.335341
-4.947274,50,59.379551
-3.692171,18,59.395661
-0.690833,6,59.401071
-0.819306,8,59.408234
-4.366099,50,59.453724
-2.110906,14,59.466574
-2.244626,13,65.368827
-2.535213,17,65.384146
-5.42196,50,65.428253
-1.859788,13,65.439817
-1.510044,14,65.452469
-2.798472,15,65.465873
-0.907977,5,65.470435
-1.427513,10,65.479652
-0.742547,4,65.483344
-3.291352,17,65.498831
-0.642822,4,71.363603
-4.046836,50,71.40868
-1.418076,10,71.417568
-2.422218,15,71.431051
-6.015544,50,71.477487
-2.219768,15,71.491758
-2.247031,16,71.506718
-0.538391,4,71.510445
-1.517758,13,71.522382
-0.871289,5,71.52699
-3.603265,18,77.364482
-5.989675,50,77.408938
-2.651989,14,77.421397
-4.56516,50,77.465755
-5.25184,50,77.51183
-1.000259,6,77.517215
-1.388034,13,77.529066
-3.743486,50,77.574149
-0.972057,5,77.578754
-2.539902,16,77.593484
-1.446832,12,83.395834
-1.077177,6,83.40131
-1.981855,12,83.412297
-2.867229,15,83.426017
-0.472071,3,83.428865
-0.920348,5,83.433444
-2.998021,16,83.447921
