#{"t_start": 1660902516.2141106, "env_id": "DobotReachDense-v0"}
r,l,t
-16.291976,50,2.372085
-16.257591,50,2.614976
-11.39633,50,3.416895
-1.770251,17,3.499899
-6.975704,50,3.744827
-10.84333,50,4.582226
-13.534669,50,4.863429
-16.221393,50,5.167269
-12.933134,50,6.114129
-5.556094,50,6.387508
-13.850529,50,11.820033
-0.830065,6,11.85165
-11.705743,50,12.099859
-0.459763,4,12.119895
-7.116419,50,12.957487
-6.224794,50,13.207713
-19.724982,50,13.451354
-15.361967,50,14.257911
-13.412797,50,14.515435
-14.886528,50,15.510815
-15.905602,50,15.757536
-7.355448,50,16.003364
-15.013696,50,20.490841
-10.893261,50,20.739397
-10.106524,50,21.44928
-7.362519,50,21.695606
-8.378805,50,21.939438
-7.152224,50,22.778933
-7.852722,50,23.023125
-5.25584,35,23.194132
-14.139373,50,24.026399
-8.338071,50,24.269557
-1.816753,15,24.346487
-14.151471,50,25.190468
-3.825211,36,29.986052
-9.735633,50,30.235054
-11.769245,50,30.993035
-9.127935,50,31.239312
-8.835175,50,31.994638
-9.949241,50,32.237814
-6.998134,50,32.488142
-10.060449,50,33.276309
-10.061525,50,33.523319
-9.125752,50,34.351897
-6.485113,50,38.808822
-6.498335,50,39.061491
-4.944912,26,39.737087
-11.993287,50,39.981941
-7.324994,50,40.225386
-8.525744,50,40.919344
-5.87287,50,41.166261
-11.760474,50,41.887347
-4.737606,40,42.08218
-1.509632,12,42.141327
-4.369735,32,42.296976
-10.234,50,43.096256
-14.984745,50,47.935094
-3.012873,31,48.089927
-3.280738,25,48.718952
-5.53874,50,48.968889
-9.40096,50,49.216651
-7.158841,50,49.976112
-5.063336,31,50.129005
-2.881185,18,50.217705
-7.515643,50,51.019624
-5.45114,50,51.266095
-7.11401,50,51.508976
-11.067428,48,52.194
-3.55462,32,52.352092
-6.329803,50,57.285921
-7.511619,50,57.870428
-3.644135,36,58.047102
-6.967932,50,58.292555
-4.527667,37,58.818026
-6.995907,50,59.065557
-3.816872,19,59.158969
-4.119463,21,59.263442
-0.761677,7,59.6958
-6.705506,48,59.933848
-5.95199,50,60.17826
-8.978429,50,60.846511
-1.175347,6,60.877245
-2.394896,19,60.972642
-2.679336,20,61.071983
-0.759079,5,61.097071
-6.279238,50,66.317915
-5.266638,24,66.441645
-5.918381,50,66.719219
-4.56968,50,67.014719
-3.81471,32,67.508954
-7.421133,43,67.762936
-0.532215,4,67.785821
-3.430546,26,67.935926
-5.480478,39,68.449194
-6.600297,50,68.739277
-2.821837,17,68.837264
-1.942143,16,68.928866
-1.56113,10,68.986846
-6.124454,39,69.528922
-2.975546,15,69.614884
-5.994051,50,69.910014
-1.563235,11,74.277931
-4.516746,50,74.763113
-4.003528,34,74.930162
-3.632693,20,75.029827
-4.78226,38,75.219938
-4.498659,23,75.562392
-3.195525,30,75.713507
-4.090021,21,75.81844
-3.224489,21,75.921978
-1.381383,10,75.971288
-4.581066,37,76.343515
-7.461681,50,76.587404
-0.940675,5,76.612716
-1.130828,10,76.663025
-5.341613,34,76.829613
-3.634551,35,77.25585
-3.070797,17,77.338573
-4.391552,28,77.475303
-5.399876,50,82.370496
-6.750586,46,82.923211
-7.796031,50,83.211866
-1.712416,16,83.306014
-2.505359,18,83.409917
-6.50696,50,83.891702
-2.355343,18,83.998339
-0.389805,4,84.021926
-5.142467,45,84.287481
-0.376827,4,84.311435
-3.545582,28,84.723678
-2.055274,14,84.791394
-5.002494,50,85.042294
-0.463966,5,85.067928
-0.724355,5,85.092505
-0.43634,4,85.112588
-5.006568,50,85.606445
-4.577542,26,85.736559
-0.453178,3,85.751945
-1.101751,11,85.806411
-2.430835,19,85.901919
-2.050118,17,85.986018
-3.898006,33,90.882358
-2.513318,28,91.019898
-2.733993,23,91.134539
-1.818426,15,91.209747
-2.928421,22,91.321567
-1.641574,16,91.400967
-3.12747,24,91.714353
-2.560832,25,91.836915
-2.594073,18,91.925444
-6.042467,28,92.065382
-4.412262,39,92.256368
