#{"t_start": 1653315959.4846249, "env_id": "TrajectoryGenerationURSim-v0"}
r,l,t,final_status,is_success
-1.187492,34,459.351052,collision,False
-1.13849,46,753.804067,collision,False
-1.347632,69,1263.628899,collision,False
-1.192244,67,1690.829684,collision,False
-1.06861,28,1837.053314,collision,False
-1.505037,79,2269.689754,collision,False
-1.157508,37,2572.044947,collision,False
-1.263986,55,2946.587928,collision,False
-1.101443,38,3234.210198,collision,False
-1.057933,21,3367.378602,collision,False
-1.044957,19,3471.138983,collision,False
-1.476791,130,4396.636106,collision,False
-1.606612,110,4776.931753,collision,False
-1.442845,116,5237.817072,collision,False
-1.449387,99,5673.508887,collision,False
-1.80858,300,6984.997118,max_steps_exceeded,False
-1.623701,128,8381.858807,collision,False
-1.012339,300,9732.022547,max_steps_exceeded,False
-1.077154,24,9837.122613,collision,False
-1.998144,165,10410.084359,collision,False
-2.193792,244,11541.384827,collision,False
-1.029766,8,11586.45717,collision,False
-1.159359,300,12438.204945,max_steps_exceeded,False
-1.121788,28,12572.833142,collision,False
-1.937546,232,14544.325629,collision,False
-1.189669,300,15429.899004,max_steps_exceeded,False
-1.336283,300,16626.239214,max_steps_exceeded,False
-0.812643,300,17452.920416,max_steps_exceeded,False
-1.903633,200,19399.650607,collision,False
-1.406798,136,19798.792015,collision,False
-1.223909,94,20086.195481,collision,False
-0.860542,300,21281.646476,max_steps_exceeded,False
-1.507717,300,22136.710149,max_steps_exceeded,False
-1.538742,114,22867.290988,collision,False
-1.009769,8,22900.725781,collision,False
-1.268596,61,23047.183311,collision,False
-1.407467,300,24850.992625,max_steps_exceeded,False
-1.526169,300,26046.337079,max_steps_exceeded,False
-2.307357,272,27209.868826,collision,False
-0.978077,300,28063.602638,max_steps_exceeded,False
-1.348285,300,30157.929625,max_steps_exceeded,False
-0.545158,300,31071.114583,max_steps_exceeded,False
-1.143661,51,31202.56088,collision,False
-1.027301,300,32412.481647,max_steps_exceeded,False
-0.574376,300,33647.145274,max_steps_exceeded,False
-1.42809,300,35403.662263,max_steps_exceeded,False
1.997775,3,35427.836801,success,True
-0.921523,300,36565.211047,max_steps_exceeded,False
-1.455586,300,37420.181369,max_steps_exceeded,False
-1.151012,76,37634.891896,collision,False
-1.061723,33,38088.475695,collision,False
-1.650941,239,38826.221649,collision,False
-1.020943,300,40814.025179,max_steps_exceeded,False
-0.855192,300,41670.466289,max_steps_exceeded,False
-1.715173,241,42727.774539,collision,False
-1.087385,300,43622.646589,max_steps_exceeded,False
1.825664,84,43886.724198,success,True
-0.960335,300,45091.312971,max_steps_exceeded,False
-0.713681,300,47235.225023,max_steps_exceeded,False
-0.601109,300,48165.828333,max_steps_exceeded,False
1.710948,98,48490.875299,success,True
-1.17361,300,49680.05965,max_steps_exceeded,False
-1.163723,300,51742.937776,max_steps_exceeded,False
-0.677812,300,52651.626721,max_steps_exceeded,False
1.243515,299,53893.55313,success,True
-1.152552,300,54802.209832,max_steps_exceeded,False
1.900202,59,54953.175987,success,True
1.835872,109,55630.32173,success,True
1.717894,164,56803.092183,success,True
-1.191116,99,57134.205763,collision,False
1.917839,51,57311.965452,success,True
1.970996,15,57378.73185,success,True
-1.417182,97,57621.934497,collision,False
1.899116,43,58099.704716,success,True
-1.034011,17,58153.956138,collision,False
1.945993,38,58321.446919,success,True
1.465367,244,59092.130895,success,True
1.319872,241,60267.557178,success,True
1.836878,112,60675.131993,success,True
