#{"t_start": 1660895421.8403046, "env_id": "DobotReachDense-v0"}
r,l,t
-7.947902,50,2.459675
-8.814166,50,2.51904
-9.253905,50,2.567961
-18.325845,50,2.618576
-14.793196,50,2.690845
-16.927308,50,2.739211
-13.173478,50,2.788616
-8.291084,50,2.837397
-6.162957,50,2.885185
-17.806157,50,2.932768
-14.955884,50,3.683449
-14.234544,50,3.731339
-11.088558,50,3.777655
-8.488486,50,3.82709
-11.841664,50,3.873003
-11.8293,50,3.917127
-15.557435,50,3.961305
-0.423574,3,3.964154
-15.840702,50,4.007964
-12.640528,50,4.053387
-10.725051,50,4.805556
-10.089495,50,4.852123
-15.60576,50,4.899179
-7.791649,50,4.945501
-6.665971,50,4.992536
-16.833726,50,5.039353
-13.249101,50,5.08472
-6.683677,50,5.131185
-0.459852,4,5.134982
-14.83594,50,5.187553
-19.647873,50,6.012907
-16.177353,50,6.057175
-7.660388,50,6.101368
-10.077498,50,6.145913
-1.295421,9,6.154135
-7.84784,50,6.206504
-10.429292,50,6.250782
-11.830754,50,6.295224
-10.437873,50,6.340491
-12.350017,50,6.391529
-13.848845,50,7.086155
-14.89971,50,7.13052
-13.596084,50,7.176668
-14.686326,50,7.223276
-12.046205,50,7.267632
-6.896105,50,7.312058
-8.09388,50,7.358066
-6.962181,50,7.402878
-6.88438,50,7.449925
-8.32532,50,7.508889
-13.036699,50,8.232323
-10.068346,50,8.280186
-10.233172,50,8.329916
-19.322727,50,8.374671
-7.847212,50,8.421836
-12.545973,50,8.466371
-0.874913,6,8.471899
-13.206935,50,8.51645
-11.321698,50,8.565605
-12.979061,50,8.610728
-18.423973,50,9.333354
-13.263246,50,9.38397
-11.570095,50,9.430117
-16.73708,50,9.474571
-14.61567,50,9.520103
-16.321475,50,9.565625
-13.699395,50,9.611808
-11.352236,50,9.659245
-16.972742,50,9.704724
-8.405069,50,9.753771
-19.099575,50,10.480383
-9.451612,50,10.524715
-8.459279,50,10.569008
-11.531567,50,10.614935
-13.164784,50,10.660894
-16.518646,50,10.710729
-16.292692,50,10.755872
-11.476344,50,10.801537
-9.754718,50,10.846201
-20.708965,50,10.892286
-8.283045,50,11.598967
-8.954551,50,11.646053
-15.36031,50,11.693553
-17.485038,50,11.742177
-15.190173,50,11.78984
-15.848131,50,11.835459
-10.096401,50,11.880486
-7.814198,50,11.927492
-10.26822,50,11.972942
-21.757572,50,12.020674
-7.929987,50,12.746826
-12.615077,50,12.795711
-13.680936,50,12.841436
-15.919948,50,12.888354
-19.899674,50,12.93435
-10.267423,50,12.980635
-17.351928,50,13.026994
-15.708087,50,13.071294
-13.14026,50,13.115506
-13.550259,50,13.160898
-11.721315,50,20.035006
-0.255231,2,20.036984
-12.530464,50,20.085412
-9.65383,50,20.132632
-8.44815,50,20.178951
-8.526302,50,20.224789
-6.02075,50,20.271923
-9.442524,50,20.31933
-0.646588,4,20.32306
-7.512818,50,20.370367
-7.995199,50,26.663204
-5.694117,50,26.709187
-3.108177,17,26.724706
-4.130944,50,26.770238
-3.589146,50,26.815755
-5.776301,50,26.867855
-10.425042,50,26.912991
-8.841135,50,26.95818
-0.881741,10,26.967282
-9.069353,50,27.012316
-2.579784,15,33.151262
-0.681461,4,33.154952
-2.297349,14,33.16797
-1.648876,11,33.17783
-2.169273,16,33.192214
-1.574749,12,33.203228
-3.837801,50,33.249096
-2.100448,14,33.261762
-5.276964,50,33.307323
-4.236346,50,33.351801
-1.887137,12,39.452567
-3.662236,50,39.498022
-5.077754,50,39.543505
-1.55038,14,39.556476
-1.949825,14,39.570346
-1.121843,11,39.580568
-2.466169,19,39.597953
-4.512268,50,39.64397
-2.934489,17,39.659442
-1.618097,10,39.668638
-5.982387,50,45.815818
-0.794195,5,45.820386
-1.522372,10,45.830289
-0.348866,3,45.833171
-5.14412,50,45.879005
-1.897519,13,45.890837
-0.35206,3,45.893671
-0.787514,4,45.897385
-7.380452,50,45.942664
-5.545294,50,45.988883
-2.712682,16,52.04228
-2.531905,14,52.054879
-1.907102,11,52.065736
-0.991574,9,52.074588
-1.356354,11,52.084909
-1.741211,11,52.09477
-1.877825,11,52.104909
-1.624508,11,52.114983
-0.33584,3,52.117841
-2.598133,14,52.130479
-1.384426,11,58.396064
-1.020776,9,58.404349
-0.752624,4,58.408123
-3.348849,18,58.424687
-1.179342,9,58.433007
-0.8098,5,58.437593
-1.010282,10,58.446837
-1.71665,12,58.457685
-6.277386,50,58.503698
-1.012442,9,58.511925
-0.240391,2,64.638307
-2.042866,13,64.650061
-1.291516,9,64.658314
-2.571132,15,64.671932
-1.462237,11,64.682009
-1.031587,9,64.690149
-0.800875,5,64.694787
-5.355347,50,64.739697
-0.707001,4,64.743399
-2.889535,17,64.758819
-2.963517,15,70.853083
-1.181385,12,70.864166
-1.189211,10,70.873303
-2.808548,15,70.886865
-1.262573,8,70.894221
-1.101013,9,70.902361
-1.117982,11,70.912314
-4.434297,50,70.957996
-1.878658,13,70.969703
-0.367168,3,70.972554
-1.312243,9,76.792236
-1.046931,12,76.803343
-1.934382,12,76.814176
-0.9355,5,76.818766
-1.806936,11,76.828681
-1.203518,7,76.835121
-0.338172,3,76.83796
-4.109469,50,76.883889
-1.951476,14,76.896528
-1.449578,12,76.907552
-1.9486,13,83.384916
-0.67548,4,83.388698
-1.398196,11,83.398703
-2.453663,14,83.411588
-1.411432,11,83.421739
-6.108772,50,83.466863
-1.06455,8,83.474236
-0.838482,9,83.482576
-1.108015,10,83.491699
-4.85268,50,83.536916
-0.921497,9,89.625974
-0.499583,4,89.62967
-1.196003,10,89.638625
-2.314862,14,89.651121
-1.610147,12,89.66209
-2.895212,14,89.674651
-3.192074,16,89.688937
-2.249643,15,89.702365
-1.307262,11,89.712433
-1.638369,14,89.725255
-0.771014,4,95.173032
-0.253447,2,95.175002
-6.342099,50,95.220962
-5.814599,50,95.266078
-2.189895,19,95.283566
-0.700105,8,95.290889
-0.92956,9,95.299208
-0.572039,4,95.302956
-1.870241,12,95.313813
-2.062991,13,95.325506
-1.905298,12,101.350091
-2.641146,15,101.363874
-1.477371,12,101.374933
-2.905842,15,101.388422
-5.212488,50,101.433091
-2.090271,13,101.444964
-2.435697,13,101.456995
-1.050142,11,101.467078
-1.769764,11,101.476979
-1.787421,11,101.487252
-1.626661,10,107.635115
-2.552861,13,107.646914
-3.618244,50,107.692204
-0.955966,7,107.698552
-0.528002,4,107.702257
-0.84591,10,107.711422
-1.406355,11,107.72154
-1.365908,9,107.729787
-0.652238,4,107.733531
-1.795806,11,107.743725
-1.69259,10,113.970274
-3.540053,17,113.986013
-3.939432,19,114.003467
-1.144482,9,114.011661
-1.208886,9,114.019819
-2.889871,17,114.035598
-1.896647,12,114.046367
-0.993863,5,114.051036
-0.827358,5,114.055983
-0.662577,4,114.059827
-0.766275,4,120.099954
-0.465406,4,120.103688
-1.931607,14,120.116534
-5.152868,50,120.163265
-0.33628,3,120.166121
-0.720151,4,120.16988
-5.651695,50,120.216847
-0.33157,3,120.219663
-0.59928,4,120.223362
-1.243755,9,120.231565
-3.447877,18,126.438638
-1.043088,9,126.446695
-2.431604,15,126.460251
-1.456311,11,126.470117
-0.957496,5,126.474715
-1.879698,14,126.487631
-2.444894,14,126.500627
-0.841447,7,126.506948
-2.940931,16,126.521533
-3.297546,17,126.537344
-0.744594,4,132.583717
-3.307184,17,132.599406
-1.500134,11,132.609441
-1.929333,14,132.622231
-2.809916,15,132.635831
-1.172621,8,132.64318
-0.571978,4,132.646908
-2.394893,14,132.659575
-2.501391,14,132.672328
-1.763207,13,132.684356
-1.883723,13,139.04743
-1.604514,11,139.058391
-1.011981,10,139.068152
-3.153126,17,139.084206
-1.251277,11,139.094189
-2.864589,15,139.107743
-1.63652,13,139.11969
-3.839618,50,139.163989
-1.654775,12,139.174928
-4.029883,20,139.19371
-2.706275,15,145.347596
-3.892873,20,145.366328
-2.689263,13,145.378091
-2.433186,16,145.392861
-3.565521,17,145.408399
-0.32653,3,145.411226
-2.245006,12,145.422482
-0.739985,4,145.426235
-4.040019,50,145.473373
-3.404305,17,145.48878
-0.908723,9,151.583438
-2.529474,14,151.596092
-0.250256,3,151.598938
-6.113185,50,151.64514
-0.230234,3,151.647991
-0.735528,4,151.652467
-0.790487,5,151.658807
-1.174288,9,151.667195
-2.361106,15,151.680985
-2.152241,13,151.692967
-0.807921,6,157.681797
-1.32141,10,157.690949
-2.601119,14,157.703561
-1.458924,12,157.714749
-1.015828,6,157.720264
-0.807031,5,157.724864
-1.487917,12,157.735862
-2.360338,14,157.748642
-1.925861,14,157.762548
-0.868914,5,157.767165
-0.431404,3,164.099957
-0.68834,4,164.103715
-1.326713,12,164.114654
-0.489838,3,164.117471
-0.346433,3,164.120297
-5.481171,50,164.165097
-4.264337,50,164.210704
-0.959738,6,164.216125
-0.683949,4,164.219851
-2.797753,16,164.234603
-1.523855,12,170.486408
-1.079437,8,170.493761
-0.852064,8,170.501121
-1.124041,10,170.510194
-3.073592,17,170.525771
-1.444435,10,170.534871
-1.232649,10,170.544034
-2.924099,17,170.56002
-0.478264,4,170.563795
-2.378957,13,170.575981
-3.692263,50,176.713148
-0.377496,3,176.716
-0.813169,5,176.720686
-1.110436,9,176.728972
-0.215874,2,176.730934
-3.535558,21,176.750242
-2.038876,14,176.763031
