#{"t_start": 1655903818.3287206, "env_id": "DobotTrajectory-v0"}
r,l,t,final_status,is_success
-13.345857,50,8.214218,success,0.0
-11.88677,50,8.259328,success,0.0
-5.254961,50,8.304098,success,0.0
-10.072616,50,8.348773,success,0.0
-15.243244,50,8.39466,success,0.0
-6.048346,50,8.439411,success,0.0
-18.004082,50,8.48714,success,0.0
-11.825313,50,8.532188,success,0.0
-17.405246,50,8.578049,success,0.0
-9.517611,50,8.622731,success,0.0
-2.036095,50,69.242883,success,1.0
-3.486924,50,69.290016,success,1.0
-5.587127,50,69.334707,success,0.0
-1.926347,50,69.379864,success,1.0
-4.307709,50,69.424684,success,0.0
-3.316605,50,69.471233,success,1.0
-1.971061,50,69.517107,success,1.0
-1.721833,50,69.562514,success,1.0
-1.894284,50,69.607648,success,1.0
-4.641052,50,69.653689,success,0.0
-3.16603,50,130.722416,success,1.0
-3.214558,50,130.767342,success,1.0
-2.547233,50,130.812266,success,1.0
-4.070541,50,130.857535,success,1.0
-6.366227,50,130.902612,success,0.0
-3.375971,50,130.949341,success,0.0
-4.940073,50,130.995416,success,1.0
-5.600065,50,131.043951,success,0.0
-3.098515,50,131.090102,success,1.0
-4.602552,50,131.136154,success,1.0
-4.307141,50,192.098493,success,1.0
-6.413352,50,192.143848,success,0.0
-2.642474,50,192.188556,success,1.0
-2.098059,50,192.233305,success,1.0
-2.510473,50,192.278455,success,1.0
-2.20361,50,192.323151,success,1.0
-3.391976,50,192.368333,success,1.0
-1.459047,50,192.412942,success,1.0
-1.848336,50,192.457868,success,1.0
-3.744237,50,192.503385,success,1.0
-2.37576,50,253.676581,success,1.0
-3.366231,50,253.721928,success,1.0
-3.639913,50,253.768721,success,1.0
-5.289841,50,253.813754,success,1.0
-4.05404,50,253.861108,success,1.0
-2.112192,50,253.906326,success,1.0
-2.779554,50,253.95203,success,1.0
-2.047939,50,253.997294,success,1.0
-1.94628,50,254.043132,success,1.0
-2.006691,50,254.089089,success,1.0
-3.044974,50,315.366492,success,1.0
-1.343114,50,315.411704,success,1.0
-1.222479,50,315.457701,success,1.0
-1.25409,50,315.503553,success,1.0
-2.14488,50,315.547727,success,1.0
-2.881342,50,315.594619,success,1.0
-1.557792,50,315.639992,success,1.0
-3.552131,50,315.685642,success,1.0
-2.812104,50,315.730287,success,1.0
-1.292065,50,315.77454,success,1.0
-5.090919,50,376.787232,success,0.0
-4.51446,50,376.834876,success,1.0
-2.805141,50,376.881889,success,1.0
-6.356049,50,376.927025,success,0.0
-3.087313,50,376.973083,success,1.0
-4.417101,50,377.020009,success,1.0
-3.111868,50,377.064853,success,1.0
-1.947399,50,377.109906,success,1.0
-3.683359,50,377.156141,success,0.0
-3.400329,50,377.202304,success,1.0
-5.422521,50,438.161789,success,0.0
-2.349246,50,438.206527,success,1.0
-2.936919,50,438.252394,success,1.0
-5.013234,50,438.298501,success,0.0
-3.592785,50,438.343704,success,1.0
-2.366739,50,438.388612,success,1.0
-3.011981,50,438.433586,success,1.0
-2.646983,50,438.478595,success,1.0
-2.715588,50,438.525025,success,0.0
-2.85127,50,438.569796,success,1.0
-1.891752,50,499.806332,success,1.0
-2.22283,50,499.859397,success,1.0
-3.182645,50,499.909643,success,1.0
-2.73089,50,499.958985,success,1.0
-4.986109,50,500.011477,success,0.0
-1.346286,50,500.063722,success,1.0
-5.109291,50,500.112174,success,0.0
-5.115608,50,500.162693,success,0.0
-3.262207,50,500.215537,success,1.0
-4.932372,50,500.268448,success,0.0
-4.128869,50,563.282455,success,0.0
-2.893993,50,563.335652,success,0.0
-1.729416,50,563.394269,success,1.0
-2.663461,50,563.441032,success,1.0
-2.892897,50,563.489547,success,0.0
-5.563032,50,563.536635,success,0.0
-2.986302,50,563.582155,success,1.0
-1.698516,50,563.630444,success,1.0
-2.145543,50,563.677147,success,1.0
-3.033723,50,563.72639,success,1.0
-3.059194,50,627.020389,success,1.0
-1.692691,50,627.089054,success,1.0
-1.665065,50,627.147075,success,1.0
-1.981553,50,627.194218,success,1.0
-3.045533,50,627.24241,success,1.0
-1.720539,50,627.288985,success,1.0
-3.23977,50,627.335253,success,1.0
-3.131833,50,627.388614,success,1.0
-3.368306,50,627.447942,success,1.0
-3.612572,50,627.507266,success,0.0
-2.328416,50,692.816215,success,1.0
-4.341372,50,692.864915,success,1.0
-1.557884,50,692.912358,success,1.0
-4.732081,50,692.959032,success,1.0
-2.800394,50,693.005843,success,1.0
-5.431772,50,693.053951,success,0.0
-2.984917,50,693.101201,success,1.0
-2.003999,50,693.147205,success,1.0
-2.050652,50,693.195185,success,1.0
-2.967362,50,693.242984,success,1.0
-1.990339,50,756.930082,success,1.0
-1.943953,50,756.977353,success,1.0
-1.412944,50,757.030708,success,1.0
-3.583921,50,757.079792,success,1.0
-5.095326,50,757.125175,success,0.0
-2.232653,50,757.172415,success,1.0
