#{"t_start": 1653058460.931254, "env_id": "TrajectoryGenerationURSim-v0"}
r,l,t,final_status,is_success
-1.021101,300,22.75292,max_steps_exceeded,False
-0.913923,300,44.609612,max_steps_exceeded,False
-1.608106,300,65.872681,max_steps_exceeded,False
-1.615073,300,88.159579,max_steps_exceeded,False
-1.250074,300,109.270995,max_steps_exceeded,False
-1.284183,300,130.748181,max_steps_exceeded,False
-1.651915,300,152.097116,max_steps_exceeded,False
-0.670824,300,173.691178,max_steps_exceeded,False
-1.726804,300,195.417791,max_steps_exceeded,False
-0.721436,300,216.454021,max_steps_exceeded,False
-1.833608,300,237.811111,max_steps_exceeded,False
-0.834012,300,259.75666,max_steps_exceeded,False
-1.447829,300,281.077332,max_steps_exceeded,False
-0.675871,300,302.949288,max_steps_exceeded,False
-1.26621,300,324.493524,max_steps_exceeded,False
-1.35,300,345.816771,max_steps_exceeded,False
-1.577631,300,367.762508,max_steps_exceeded,False
-1.782877,300,389.65441,max_steps_exceeded,False
-1.707866,300,411.567851,max_steps_exceeded,False
-0.860225,300,433.648048,max_steps_exceeded,False
-1.787362,300,455.374938,max_steps_exceeded,False
-0.963815,300,477.569952,max_steps_exceeded,False
-1.775607,300,498.903487,max_steps_exceeded,False
-1.316394,300,520.480849,max_steps_exceeded,False
-1.2354,300,541.4967,max_steps_exceeded,False
-0.613204,300,562.337679,max_steps_exceeded,False
-2.169039,253,580.763919,collision,False
-1.29296,300,603.240072,max_steps_exceeded,False
-0.866232,300,624.532486,max_steps_exceeded,False
-0.972745,300,645.974867,max_steps_exceeded,False
-0.889278,300,668.034375,max_steps_exceeded,False
-0.961835,300,689.90312,max_steps_exceeded,False
-0.58531,300,711.190082,max_steps_exceeded,False
-1.593185,300,962.453306,max_steps_exceeded,False
-1.336868,74,974.938502,collision,False
-1.306384,61,984.572751,collision,False
1.338952,154,998.843459,success,True
-1.0076,300,1023.637958,max_steps_exceeded,False
-1.263752,68,1037.883527,collision,False
