#{"t_start": 1652442989.0136626, "env_id": "TrajectoryGenerationURSim-v0"}
r,l,t
-1.294152,300,44.032899
-1.014848,300,84.5426
-1.033262,300,127.362599
-1.883939,300,170.579523
-1.510881,300,213.7839
-0.905881,300,256.381299
-1.709447,300,300.530291
-1.136586,300,343.030824
-1.798305,300,387.259295
-1.887144,300,430.463453
-1.565308,300,474.078331
-1.106686,300,516.68175
-1.924803,300,560.221715
-1.661363,300,603.923297
-1.635383,300,647.125853
-1.106842,300,691.519245
-0.978218,300,735.859435
-0.775226,300,780.065526
-0.873007,300,823.718009
-1.904082,300,867.675656
-0.946026,300,912.309457
-0.988457,300,955.708522
-1.467208,300,999.252166
-1.898459,300,1044.157351
-1.536742,300,1087.865227
-1.058819,300,1130.229343
-2.053999,300,1172.662797
-0.854176,300,1217.446984
-0.897911,300,1261.097316
-0.830975,300,1303.652735
-1.290873,300,1346.639764
-1.708659,300,1390.098802
-0.589479,300,1434.102679
-1.940435,204,1923.425125
-1.209522,46,1945.758357
-1.250883,82,1964.952612
-1.413697,114,1990.713865
-1.631221,156,2025.350017
-1.202682,76,2051.528956
-1.265784,60,2068.787732
-1.326068,74,2087.904799
-1.140063,66,2106.764701
-1.218215,51,2123.456812
-1.270718,51,2139.323609
-1.206054,51,2155.092841
-1.13782,52,2170.959031
1.971162,21,2182.989389
1.895518,41,2193.344766
-1.600746,181,2223.65546
1.869382,46,2240.329157
-1.147275,56,2255.910256
-1.228876,55,2272.748052
-1.22584,55,2289.509253
-1.758113,171,2320.104242
-1.481433,99,2341.110117
-1.217935,49,2356.113697
-1.198196,70,2373.903764
-1.415011,95,2394.839984
-1.270866,66,2413.344211
-1.301982,71,2431.831124
-1.17629,83,2451.545969
-1.396258,111,2478.279531
-0.57857,300,2526.27389
-1.098706,38,2538.839447
-1.95275,178,2567.139601
-1.16993,41,2577.610679
-1.26139,73,2592.970358
-1.132402,300,2639.320282
-0.980014,300,2688.415411
-1.146166,48,2706.703599
-1.222576,63,2723.791317
-1.488975,144,2751.458951
-1.1921,47,2775.454869
-0.806275,300,2820.773438
-1.823361,220,2855.140382
1.587647,296,2899.404885
-1.37981,207,2930.605914
-1.369681,79,2951.324547
-1.279004,98,2972.65001
-0.625911,300,3019.123843
-1.319642,84,3037.711152
-1.415011,300,3083.556215
-2.104349,248,3120.967443
-0.961268,300,3170.68637
-0.784257,300,3217.608009
-1.505493,196,3256.247093
-0.812762,300,3309.870865
-0.637074,300,3362.239073
-1.00435,300,3412.28315
-0.806548,300,3461.989407
-0.803048,300,3511.452222
-0.571903,300,3561.40705
1.860699,48,3574.417254
-1.621028,130,3599.350597
-1.598936,172,3631.00998
-1.312655,96,3654.079889
1.63541,261,3694.515098
-1.123973,300,3739.100862
-1.376591,82,3775.161288
-1.285691,54,3792.109639
-1.009599,300,3837.919648
-0.769872,300,4239.953173
-1.40238,79,4273.025117
-1.326504,76,4291.905868
-1.395031,300,4337.523396
-1.605059,219,4376.053741
-1.406662,123,4399.357603
-1.431294,140,4427.424283
1.985774,15,4439.658639
-1.163519,38,4448.789671
-0.388639,300,4492.162335
-1.514676,122,4516.153494
-1.191717,300,4562.765995
1.96976,22,4575.486107
-1.656663,233,4608.91756
1.719423,174,4642.307777
-1.438766,86,4658.859335
-2.191245,288,4704.262308
-1.483739,84,4724.196728
-0.886465,300,4771.460767
-0.622526,300,4816.298865
-1.240491,73,4831.939982
-1.303167,87,4853.072678
1.876381,45,4867.157623
-1.263001,81,4885.555455
-1.287628,90,4905.052058
-1.568769,138,4931.030932
-1.743415,300,4980.3988
-1.569832,169,5013.481816
-1.15167,56,5032.265669
-1.144266,300,5078.582565
-1.351808,89,5098.764023
-1.991419,287,5143.304416
-0.65542,300,5192.5553
-0.673408,300,5236.03986
-1.289097,300,5281.380567
-0.714015,300,5327.764077
-1.376425,300,5375.544448
1.88911,43,5390.226407
1.879235,78,5408.160367
1.94614,30,5416.572078
-1.295935,185,5445.079082
1.787334,150,5474.635904
-0.598158,300,5517.647743
-1.564911,241,5558.345736
1.96633,23,5580.187326
1.908155,48,5591.959787
-1.181966,143,5616.977501
-1.722397,154,5650.493826
-1.14889,54,5668.709212
-0.417193,300,5714.490351
-1.546878,300,5756.668775
-1.491037,140,5786.613557
-1.283247,300,5834.803802
-0.364069,300,5880.07053
-1.372256,187,5910.186506
-1.147134,50,5926.328773
-1.220319,78,5943.056941
-1.945814,252,6241.248914
-1.302805,300,6292.791007
1.849777,69,6311.855337
-2.209615,288,6355.093605
-0.43019,300,6404.38664
1.95105,30,6414.48467
-1.56804,261,6452.765929
-0.606953,300,6498.499142
-2.102484,276,6541.169937
-1.669225,297,6593.567238
-1.134997,84,6611.092211
-1.833299,269,6655.037512
-1.967729,208,6693.247271
1.794809,127,6722.862736
-1.212034,300,6765.455186
-1.404684,80,6787.191891
-0.636187,300,6832.266243
-0.953971,300,6880.974595
-0.554106,300,6932.562455
-1.577532,159,6966.646783
-0.623916,300,7019.91184
-1.352908,266,7068.825072
-1.034518,300,7116.580522
-1.073774,300,7171.256211
1.75939,107,7193.326065
-1.05143,300,7237.496828
-0.934787,300,7285.494425
1.831244,149,7313.27865
-1.283747,300,7356.301687
-1.166288,53,7375.012941
-0.743311,300,7417.897592
1.797074,212,7454.149858
-0.549437,300,7498.06615
-1.326831,132,7519.596952
-0.872946,300,7567.786223
-1.282453,99,7588.018611
-0.526866,300,7636.177474
-1.46542,300,7682.425493
-1.421741,230,7720.086306
-0.705091,300,7772.390501
-0.518797,300,7815.29222
-1.635083,283,7859.859523
1.978235,29,7880.942418
-1.007549,300,8226.006434
-1.833661,184,8259.864699
-0.423261,300,8312.24978
1.987366,14,8324.45928
-1.127145,59,8335.711816
1.954291,36,8350.449778
-1.128785,51,8361.521025
-0.594161,300,8405.229617
-0.77082,300,8449.76791
-1.32545,87,8472.595551
-0.683735,300,8521.438134
-0.595066,300,8570.83496
1.937924,51,8585.804328
-0.878271,300,8629.830413
-1.443333,195,8663.518645
-0.747936,300,8706.83387
-0.441988,300,8752.554105
1.936949,44,8777.271014
-1.529509,268,8815.011474
-1.299432,72,8837.496259
1.794399,99,8859.387387
1.777538,147,8885.364499
-0.524897,300,8929.28377
1.806574,96,8951.341865
-1.716675,179,8981.190963
-1.146661,49,8997.239189
-0.674724,300,9042.222379
-0.841095,300,9085.742067
-1.78477,249,9126.958483
-1.474293,145,9152.072676
-1.411926,300,9200.588494
-1.160645,300,9254.180376
-1.443305,86,9271.237062
-0.70243,300,9318.075598
-0.789859,300,9369.939636
-0.798408,300,9424.972236
-0.860695,300,9471.744155
-0.575208,300,9518.906048
1.955901,33,9527.910215
-0.523805,300,9570.155815
-1.031675,300,9616.417716
1.921361,60,9638.736178
-0.42968,300,9683.167498
1.904558,69,9699.039403
1.984806,15,9708.060973
-0.778146,300,9748.737206
-0.558416,300,9794.948539
1.85322,70,9812.176024
-0.647306,300,9855.835351
-0.59422,300,9904.937055
-0.760525,300,10197.0582
1.853648,87,10220.400614
-0.796571,300,10263.043674
-0.426649,300,10307.111099
1.944566,47,10319.096646
1.962647,29,10328.366571
1.661304,293,10369.214941
1.485045,250,10406.038489
1.933149,42,10419.333878
1.809627,135,10442.251923
1.924089,71,10457.191277
-0.754416,300,10501.824401
-0.507375,300,10548.225522
-0.854839,300,10591.918255
-1.488984,191,10623.17584
-0.739002,300,10673.15026
-0.710862,300,10719.517537
1.923612,70,10737.574153
1.939531,31,10746.793419
-0.992185,300,10789.534282
1.826404,163,10819.161238
-1.588551,196,10849.422058
1.978062,23,10863.661484
1.903351,96,10881.235916
1.990469,14,10892.706585
-1.454911,124,10912.079919
1.82074,159,10942.59382
-1.186544,300,10983.846386
-0.700966,300,11029.568826
-0.859852,300,11081.611275
-0.576062,300,11124.135409
1.795143,96,11153.810359
1.927062,48,11167.037616
1.942039,35,11178.777658
-0.533103,300,11221.543293
1.966314,23,11232.17368
1.881087,52,11244.013277
1.972081,21,11253.611591
-1.324914,132,11274.935791
1.971369,22,11287.403269
1.931418,72,11301.186651
1.898434,71,11316.442677
-1.432846,185,11346.184885
-0.545861,300,11391.964487
-0.805513,300,11443.680841
1.977579,17,11469.028945
-1.346071,91,11484.833595
-0.640668,300,11530.37948
1.994546,7,11549.774898
-0.773818,300,11589.513751
-1.373134,117,11612.162084
-1.102306,47,11626.727515
1.887329,103,11645.141172
1.862639,130,11666.978812
-0.420567,300,11709.573637
1.987071,12,11719.306998
1.85625,83,11733.283411
-1.481016,131,11758.474655
-0.964694,300,11803.249182
-0.743697,300,11855.889676
-0.441376,300,12238.876517
-1.098628,40,12252.948026
-1.184113,64,12266.547378
1.767164,257,12303.197992
-1.061003,37,12318.928834
-1.293817,87,12335.369163
-1.123316,42,12349.955862
1.881473,90,12367.677141
1.743945,100,12388.854576
1.781062,104,12408.530224
1.953925,35,12421.588175
-0.578719,300,12465.55301
-1.009867,300,12510.878546
1.852081,69,12536.867851
-1.243266,54,12549.943182
1.769458,76,12569.234625
1.821286,83,12589.543791
1.752961,87,12608.748686
1.811578,100,12629.232699
1.902973,46,12643.651416
1.731492,188,12674.461543
1.746488,100,12693.342144
1.873383,56,12708.23527
-1.074656,38,12720.386639
-0.716262,300,12764.260891
1.971158,24,12779.774319
-1.120431,47,12790.674207
-0.847471,300,12832.737976
-0.702427,300,12875.991072
-1.087213,39,12892.32685
-1.327162,126,12914.461627
-0.797741,300,12956.584376
1.935005,71,12974.583366
-1.255544,93,12994.739952
-0.695287,300,13041.665046
-1.129261,39,13053.909664
-0.887065,300,13097.129114
-0.878091,300,13148.526201
1.935681,36,13167.299785
-1.256576,300,13211.282324
