#{"t_start": 1652252195.3182054, "env_id": "TrajectoryGenerationURSim-v0"}
r,l,t
-1.897997,128,464.831795
-1.341564,101,777.663485
-1.370153,84,1094.489522
-1.416062,112,1380.080344
-1.457849,151,1772.321532
-1.26896,71,1994.824445
-2.172819,291,2742.238982
-2.025722,221,3357.58685
-1.24296,83,3612.481712
-1.319538,63,4647.05805
-1.221473,52,4795.846649
-1.348657,114,5090.606758
-1.315598,51,5193.670744
-1.65195,139,5586.919711
-1.373324,96,5895.922035
-1.389505,77,6062.249452
-2.337089,212,6737.466775
-1.341524,300,7588.017022
-1.875341,209,8826.089469
-1.923055,199,9328.311847
-2.023431,230,9919.208546
-1.525851,117,10204.108525
-1.681712,300,10931.154946
-1.25827,50,11091.557993
-1.488338,102,11389.628155
-2.139837,224,12610.417265
-1.455086,300,13292.380382
-1.941783,300,14113.172412
-1.573431,131,14429.993377
-1.205131,300,15044.099968
-1.725071,224,16232.190862
-1.113686,300,16838.90718
-1.050426,300,17457.150905
-1.960474,183,17844.800054
-1.116551,300,18455.409821
-1.299761,300,19968.127408
-1.602461,300,20567.170285
-1.567966,300,21164.257774
-1.299863,300,21770.885703
-1.274255,300,23101.797451
-1.200702,300,23698.184606
-1.112755,300,24482.842659
-0.70902,300,25080.320862
-1.739788,300,26391.76265
-1.080854,300,26989.030789
-1.104165,300,27583.247238
-0.839712,300,28181.533411
-1.016704,300,29487.516069
-1.343836,300,30280.492676
-1.482773,300,30855.788055
-1.174026,300,31458.847869
-1.190589,300,32049.784506
-1.003245,300,33357.348926
-1.813344,300,33956.247154
-1.381262,300,34561.178029
-1.323118,300,35362.417161
-1.165419,300,36697.72677
-0.989639,300,37294.510094
-1.401952,300,37889.740069
-1.04512,300,38486.42611
-1.264031,300,39807.107633
-1.38347,300,40403.035618
-0.929241,300,41188.602147
-0.859677,300,41779.021004
-1.808673,300,43107.631384
-1.085446,300,43710.698195
1.968328,23,43765.219384
-1.594191,300,44361.356485
-1.28472,300,44965.343016
-0.89743,300,46307.863878
-0.943022,300,47099.285237
-1.468385,300,47731.102533
-1.52036,300,48347.40201
-1.486853,300,49676.409575
-0.963812,300,50275.712169
-1.285905,300,50886.794141
-1.206367,300,51701.392118
-1.065212,31,51768.950091
-1.355764,300,53081.999547
1.907416,62,53209.651763
-1.037721,300,53812.978856
-0.457514,300,54413.315482
-1.142553,300,55052.201177
-1.10708,300,56407.398553
-1.379951,300,57017.842312
-1.359548,300,57869.428749
-0.608213,300,58469.227734
-0.889536,300,59089.783466
-1.149021,300,60478.233958
-0.884669,300,61101.90669
-1.000068,300,61739.397039
-0.757174,300,62334.900501
-1.041143,300,63796.057947
-1.308033,300,64427.925721
-0.789281,300,65061.709533
-1.200141,300,65706.089509
-1.063154,300,66919.34267
-0.686907,300,67547.625405
-1.415082,300,68190.79717
-0.514116,300,69001.894855
-1.175639,300,70232.075733
-0.952063,300,70863.913088
-1.405815,300,71464.311904
-1.503062,300,72089.25531
1.960634,18,72162.336704
-0.562191,300,73461.128094
-1.21987,300,74287.617679
1.946585,32,74375.1876
-0.974779,300,75045.436233
-0.749608,300,75699.339612
1.983509,11,75756.899616
-1.482379,300,76963.479998
-1.197371,87,77120.747046
1.826568,114,77391.093739
-1.577481,300,78030.95557
-1.515666,300,78649.907544
-1.373947,300,79466.256797
-0.929091,300,80709.393191
-1.325062,300,81370.905746
-1.212356,300,82042.432562
-1.225097,300,82713.794675
1.891662,54,82861.380607
-0.36913,300,84155.622789
-0.769101,300,84795.300023
-1.198571,300,85639.717185
-1.416635,300,86274.529674
-0.725215,300,87553.382593
1.95343,34,87625.58055
-0.68816,300,88276.500043
-0.696043,300,88976.46908
1.958869,24,89031.860108
1.914697,51,89122.069542
-1.263579,300,89818.948725
1.917294,49,90523.902976
-0.967834,300,91404.617676
1.861044,117,91694.430127
1.998451,3,91712.878673
-0.857431,300,92326.006482
-0.931328,300,93066.342441
-0.857066,300,94282.007043
-1.314147,300,94939.268506
-0.427507,300,95606.037812
-1.420022,300,96360.86029
1.938686,44,96449.243964
-0.743882,300,97962.520493
-1.419828,300,98681.904411
-1.355097,300,99408.620979
-1.071371,300,100074.302071
1.815337,157,100408.437315
-0.552746,300,101574.463244
1.848952,57,101716.199082
1.899407,66,101836.68433
1.927192,37,101910.159545
1.965968,24,101983.593589
-1.23925,300,102868.434968
1.950116,27,102973.893934
1.955436,23,103022.965349
1.909015,64,103204.462866
-0.731343,300,103848.624016
-1.099321,300,105007.375254
1.963401,27,105102.872886
-1.396811,300,105797.953087
-1.173935,300,106623.797535
1.98646,12,106667.189348
1.878939,74,106806.881346
1.962197,26,106880.81907
1.802355,96,107138.030321
