#{"t_start": 1652081926.9261253, "env_id": "TrajectoryGenerationURSim-v0"}
r,l,t
-1.53717,300,37.734488
-1.10011,300,72.712085
-1.119177,300,106.618563
-1.476806,300,140.460171
-0.851167,300,173.623695
-0.940359,300,208.34681
-1.533627,300,241.78001
-1.308894,300,276.468285
-0.943796,300,310.427863
-1.220689,300,345.093632
-1.63054,300,379.044565
-1.393698,300,414.277787
-1.190071,300,447.853362
-1.569296,300,483.836167
-0.901719,300,516.931559
-1.203089,300,550.586053
-1.536128,300,585.265334
-1.31561,300,616.754394
-0.887191,300,649.634718
-0.810765,300,683.531643
-0.521903,300,716.459745
-1.10972,300,748.76923
-1.379483,300,781.901046
-0.751894,300,814.368397
-1.30024,300,848.943589
-1.861543,300,882.259604
-1.438706,300,915.50988
-1.007532,300,950.402888
-1.608545,300,983.980242
-1.697891,300,1019.176718
-1.208963,300,1051.994274
-1.347464,300,1084.532372
-1.843129,300,1117.239887
-0.855227,300,1542.055092
-1.211797,49,1574.081776
-1.253575,50,1587.805336
-1.355871,71,1608.088327
-1.47348,81,1629.724856
-1.543005,104,1655.763944
-1.284341,97,1685.205748
-1.661964,96,1711.645899
-1.467746,161,1742.934076
-1.669578,166,1781.359666
-1.482897,106,1813.031868
-1.440827,300,1860.784535
-1.855809,163,1909.731446
-1.501879,87,1943.735848
-1.968173,250,1984.029154
-1.899062,221,2042.661826
-1.921441,256,2094.70307
-1.293563,87,2132.737775
-1.486791,134,2165.433627
-1.607722,187,2209.644951
-1.087667,300,2264.622666
-2.346117,290,2324.281594
-1.057325,300,2383.824879
-0.94051,300,2443.958963
-1.254636,73,2483.701166
-1.558293,137,2510.167045
-1.171642,53,2539.718889
-1.179835,47,2556.080449
-1.180225,48,2572.094354
-1.137502,38,2586.812054
-1.195904,39,2598.581813
-1.289296,68,2614.446013
-1.087476,300,2657.693523
-1.431905,300,2725.493987
-0.96272,300,2786.996932
-1.100102,300,2846.187096
-1.470297,97,2894.547874
-0.943061,300,2944.553424
-1.083031,300,3007.006867
-1.669328,168,3058.334492
-1.071774,300,3114.875004
-2.214402,278,3173.748955
-1.212243,300,3241.918605
-1.567876,300,3304.646188
-1.445317,300,3368.547326
-1.852225,300,3434.962962
-1.399658,300,3506.613941
-2.343375,241,3569.409709
-1.230314,300,3638.39799
-1.311207,300,3705.982335
-1.451813,300,3782.980882
-1.445836,300,4327.252928
-0.712446,300,4402.016826
-1.056667,300,4465.726896
-1.468577,300,4536.56437
-1.946661,172,4586.075153
-1.000119,300,4639.172078
1.996653,6,4681.869748
-1.513079,300,4714.531854
-1.117233,300,4788.275648
-0.887152,300,4860.646831
-1.471406,300,4921.915715
-1.370762,73,4965.117787
-1.197607,102,4989.912272
-1.496354,300,5039.024911
-1.846588,300,5107.510852
-0.704561,300,5164.103415
-1.29181,300,5226.940108
-1.382751,300,5286.342523
-1.287917,300,5346.238667
-1.535099,300,5404.008849
-1.558573,189,5454.115155
1.195385,186,5500.574303
-1.815712,138,5535.080155
-1.639459,183,5570.377599
-1.497893,103,5601.389932
-1.880008,179,5633.791921
-1.005933,300,5682.146921
-1.477071,169,5728.844973
-1.505628,169,5769.464964
-1.116917,300,5822.764368
-0.887018,300,5881.74317
-1.027531,300,5942.428985
-1.273509,70,5979.084903
-1.816179,202,6012.230867
-1.283677,104,6049.523924
-1.133188,300,6095.800599
-0.615314,300,6151.7036
-1.394029,300,6220.424178
-1.508458,300,6282.167401
-0.746066,300,6343.124201
-1.203832,300,6405.361598
-1.985601,179,6457.316252
-1.351531,87,6484.681303
1.832269,58,6832.700181
-2.062994,253,6872.769387
-1.326422,300,6932.080884
-0.859036,300,6996.598062
-1.128016,300,7055.387109
-1.132191,79,7087.1462
-1.478982,300,7134.873288
-1.641962,254,7190.390354
-0.811031,300,7269.71252
-2.121178,202,7336.676272
-1.942126,181,7386.867435
-0.802933,300,7442.086887
1.699496,108,7500.413279
-0.959301,300,7552.580645
-1.446516,300,7625.262022
-1.178573,57,7672.79025
-1.160024,52,7691.097961
-0.977655,300,7735.649416
-0.811516,300,7804.03473
-1.102241,53,7850.925604
-0.801997,300,7895.58291
-0.696225,300,7962.179726
-1.281422,300,8025.353826
-1.423272,109,8077.3779
-1.186515,56,8107.77154
-1.210345,56,8127.598301
-1.095872,60,8145.657115
-1.117582,54,8164.960227
-1.485551,300,8208.053694
-1.415471,151,8264.743471
-1.089653,56,8297.728551
-1.133062,53,8317.013267
-1.209052,51,8336.479404
-1.364969,300,8377.502978
1.909617,60,8425.858259
-1.31547,300,8469.566767
-1.144756,300,8542.86908
1.969362,25,8585.269629
-0.990195,300,8622.343535
-0.943374,300,8697.160572
-0.759537,300,8794.340071
-1.423766,300,8870.069543
-1.309742,300,8944.118631
-1.651159,300,9011.292817
-0.889152,300,9078.411093
-1.251278,300,9145.103468
-1.51478,180,9206.695021
-1.109651,300,9268.191024
-0.97551,300,9638.52461
-0.791398,300,9714.087295
-0.667467,300,9779.531635
-1.019985,300,9847.162621
-1.40662,132,9896.547154
-1.073342,300,9944.479789
-1.563344,195,10005.54352
-1.181196,300,10069.861624
-1.584189,237,10127.435024
-1.283198,300,10184.615433
-1.260805,78,10231.920244
-1.605651,279,10275.789779
-1.16575,300,10330.974895
-1.174166,89,10380.880848
-1.415574,244,10420.430343
1.69337,158,10460.938474
1.80548,90,10489.830223
-0.875634,300,10539.087244
-0.80268,300,10601.972268
-1.599956,189,10655.894548
-1.185328,300,10711.944379
-0.787787,300,10783.70022
-1.341395,300,10848.018144
1.822868,63,10885.984123
-1.03749,300,10929.887528
-1.023561,300,11001.012961
-1.283005,300,11080.320321
1.95491,29,11116.777611
-0.658431,300,11156.197415
-1.609299,160,11215.106426
-1.933084,300,11272.645368
-0.740711,300,11333.263897
-1.369412,219,11387.293487
1.938275,34,11419.548238
-1.465703,140,11442.025791
-0.762441,300,11502.571512
1.909683,43,11549.334095
-0.41434,300,11590.999293
-1.248669,106,11632.805473
-1.920794,297,11690.052902
-0.815447,300,11761.553139
1.90343,46,11798.02611
-1.638324,126,11819.771186
-1.171518,300,11866.689035
-0.9698,300,12342.015329
-0.669823,300,12408.357537
-0.976321,300,12477.725175
-0.760042,300,12546.146256
1.940579,33,12595.29671
-1.184341,300,12635.876267
-0.653697,300,12701.046832
-1.661009,182,12759.079627
-1.000186,300,12822.673153
-1.615173,213,12878.047403
-1.037145,300,12935.375086
-0.927948,300,13007.793404
-0.729888,300,13065.956723
1.842243,56,13119.953876
-0.873237,300,13165.47115
-0.559892,300,13234.54014
1.81291,75,13298.595961
1.753323,159,13330.290413
1.928024,37,13356.570513
-1.488498,300,13396.839725
1.702085,110,13436.418648
1.813607,89,13448.131537
