#{"t_start": 1652884494.4309957, "env_id": "TrajectoryGenerationURSim-v0"}
r,l,t,final_status,is_success
-1.51009,300,21.649581,"max_steps_exceeded",False
-1.291583,300,42.029075,"max_steps_exceeded",False
-0.852774,300,62.699698,"max_steps_exceeded",False
-1.152323,300,83.851413,"max_steps_exceeded",False
-1.545622,300,104.788584,"max_steps_exceeded",False
-0.476168,300,125.941077,"max_steps_exceeded",False
-1.726961,300,146.357489,"max_steps_exceeded",False
-1.264842,300,167.701618,"max_steps_exceeded",False
-1.410309,300,188.997786,"max_steps_exceeded",False
-1.821621,300,209.264144,"max_steps_exceeded",False
-1.705776,300,229.644838,"max_steps_exceeded",False
-1.519828,300,251.053374,"max_steps_exceeded",False
-1.587172,300,272.248928,"max_steps_exceeded",False
-1.362551,300,292.759381,"max_steps_exceeded",False
-1.125158,300,314.113451,"max_steps_exceeded",False
-1.75612,300,334.465495,"max_steps_exceeded",False
-1.473947,300,355.38357,"max_steps_exceeded",False
-1.336877,300,376.047101,"max_steps_exceeded",False
-1.179972,300,397.087044,"max_steps_exceeded",False
-1.193129,300,416.827975,"max_steps_exceeded",False
-1.215122,300,438.323041,"max_steps_exceeded",False
-0.716304,300,458.553082,"max_steps_exceeded",False
-1.397457,300,479.114212,"max_steps_exceeded",False
-1.344933,300,499.032637,"max_steps_exceeded",False
-0.754543,300,519.511967,"max_steps_exceeded",False
-1.462012,300,539.864195,"max_steps_exceeded",False
-1.21335,300,560.809427,"max_steps_exceeded",False
-0.76737,300,582.284996,"max_steps_exceeded",False
-0.712644,300,602.636286,"max_steps_exceeded",False
-1.390788,300,623.079122,"max_steps_exceeded",False
-1.210628,300,643.992452,"max_steps_exceeded",False
-0.881804,300,665.044962,"max_steps_exceeded",False
-1.895305,300,686.47116,"max_steps_exceeded",False
-1.56016,300,929.049864,"max_steps_exceeded",False
-1.154143,53,939.652413,"collision",False
-1.709306,153,952.909614,"collision",False
-2.075823,232,975.890229,"collision",False
-1.119025,39,989.669884,"collision",False
-1.423647,300,1009.79737,"max_steps_exceeded",False
-1.33411,80,1024.498916,"collision",False
-1.550378,187,1041.240329,"collision",False
-2.092276,188,1059.071085,"collision",False
-1.163299,300,1082.351786,"max_steps_exceeded",False
-1.113393,40,1092.47095,"collision",False
-1.931609,292,1112.607207,"collision",False
-1.208503,61,1124.366564,"collision",False
-0.877301,300,1144.640075,"max_steps_exceeded",False
-1.543452,300,1173.859856,"max_steps_exceeded",False
-1.194468,53,1184.539223,"collision",False
-1.405129,300,1205.834051,"max_steps_exceeded",False
-1.188144,300,1231.873154,"max_steps_exceeded",False
-1.141638,300,1255.691763,"max_steps_exceeded",False
-1.565031,300,1278.555546,"max_steps_exceeded",False
-0.838759,300,1301.356699,"max_steps_exceeded",False
-1.718773,245,1321.397333,"collision",False
-1.410679,194,1343.471663,"collision",False
-1.379076,113,1357.605258,"collision",False
-0.730331,300,1380.634336,"max_steps_exceeded",False
-2.330304,268,1402.345446,"collision",False
-1.184628,58,1416.555018,"collision",False
-1.212697,300,1438.131709,"max_steps_exceeded",False
