#{"t_start": 1651681209.5388203, "env_id": "FollowPathURSim-v0"}
r,l,t
-4.566448,726,89.008135
-5.308806,585,164.325304
-3.921579,800,262.753104
-3.349802,800,358.873926
-3.979004,800,455.688241
-2.956809,580,529.249924
-4.122652,479,593.410383
-5.088556,750,685.310194
-4.511963,642,766.807055
-3.715829,422,824.560812
-4.998992,800,922.590941
-2.000012,324,967.784666
-3.416607,800,1065.227433
-4.644911,683,1150.112835
-2.597892,684,1235.840589
-5.55401,800,2301.329159
-1.262631,67,2325.271167
-1.222853,62,2342.60201
-1.203344,56,2359.145333
-1.23272,68,2376.182746
-1.115161,68,2394.096253
-2.004042,150,2420.412377
-2.616323,302,2469.129472
-2.26868,800,2574.211977
-1.462642,170,2613.959169
-1.179193,50,2636.571958
-1.16924,59,2651.661984
-1.620559,800,2745.28264
-1.877649,175,2790.260949
-1.177682,79,2816.759166
-1.138329,62,2835.609317
-1.346605,80,2854.683078
-1.81716,167,2884.088456
-1.339594,67,2908.279186
-2.736978,800,3002.817422
-2.270274,210,3042.397882
-2.79453,800,3140.114772
-1.753104,191,3187.509014
-1.338498,93,3215.614362
-1.218729,42,3232.129743
-1.138741,28,3242.805028
-1.107946,26,3251.889823
-1.097504,28,3260.946374
-1.090607,30,3270.563077
-1.110893,37,3280.956688
-2.681669,555,3345.341815
-2.877202,800,3448.072249
3.853648,58,3481.15064
-4.065194,800,3574.261446
-1.192831,42,3604.909954
-1.129781,42,3617.589023
-1.216253,43,3630.452563
-1.512772,122,3651.588146
-1.197142,42,3671.495565
-4.065195,606,3743.717623
-2.64943,370,3804.825614
-1.160557,42,3829.087028
-1.111658,44,3841.940625
-1.299495,100,3859.681048
-1.14569,45,3879.269277
-1.411368,82,4293.067039
-1.914961,232,4328.766298
-1.346752,81,4350.521238
-1.621443,129,4374.525926
-1.696853,195,4408.114124
-1.496107,164,4443.239842
-1.463059,91,4466.538503
-1.275559,92,4489.352787
-1.728316,251,4529.769756
-2.544153,331,4582.552564
-1.545062,168,4620.278794
-1.189949,93,4647.98356
-1.293283,101,4671.548787
-1.766217,800,4769.047819
-1.749609,155,4808.617407
-1.432012,131,4836.904912
